ip,tags,date
172.67.194.96,RAT,2026-01-31
20.60.202.11,,2026-01-31
156.234.68.0,C2,2026-01-31
45.114.106.0,C2,2026-01-31
23.226.51.0,C2,2026-01-31
91.92.240.0,C2,2026-01-31
74.119.149.0,C2,2026-01-31
23.226.52.0,C2,2026-01-31
178.16.52.0,C2,2026-01-31
207.56.192.0,C2,2026-01-31
156.234.208.0,C2,2026-01-31
148.178.32.0,C2,2026-01-31
148.178.64.0,C2,2026-01-31
104.21.63.75,C2,2026-01-31
77.110.103.90,,2026-01-31
161.97.121.66,phishing,2026-01-31
172.67.194.96,RAT,2026-02-01
178.16.55.182,phishing,2026-02-01
185.234.73.46,C2,2026-02-01
45.192.110.20,,2026-02-01
104.21.63.75,,2026-02-01
43.165.191.245,,2026-02-02
130.12.180.43,,2026-02-02
178.16.55.189,,2026-02-02
104.21.59.6,,2026-02-02
172.67.167.97,,2026-02-02
172.67.160.134,,2026-02-02
104.21.9.143,,2026-02-02
104.21.4.53,,2026-02-02
172.67.153.230,,2026-02-02
109.107.168.147,,2026-02-02
20.150.44.65,,2026-02-02
95.179.213.0,,2026-02-02
148.178.64.0,RAT,2026-02-02
148.178.32.0,RAT,2026-02-02
156.234.208.0,RAT,2026-02-02
207.56.192.0,RAT,2026-02-02
178.16.52.0,RAT,2026-02-02
23.226.52.0,RAT,2026-02-02
74.119.149.0,RAT,2026-02-02
23.226.51.0,RAT,2026-02-02
45.114.106.0,RAT,2026-02-02
156.234.68.0,RAT,2026-02-02
213.152.162.69,"NanoCore,C2",2026-02-02
82.153.138.120,C2,2026-02-02
58.59.44.132,,2026-02-02
107.174.34.163,,2026-02-02
107.174.33.21,,2026-02-02
104.21.77.197,,2026-02-03
172.67.211.110,,2026-02-03
172.67.159.199,,2026-02-03
104.21.90.187,,2026-02-03
72.62.185.31,,2026-02-03
107.174.34.163,,2026-02-03
107.178.104.182,,2026-02-03
41.40.113.25,"C2,Njrat",2026-02-03
79.137.196.232,C2,2026-02-03
66.42.85.225,,2026-02-03
50.116.30.13,,2026-02-03
57.150.245.228,,2026-02-03
110.234.224.37,,2026-02-04
52.103.1.0,,2026-02-04
43.165.182.6,,2026-02-04
104.21.23.148,,2026-02-04
172.67.211.171,,2026-02-04
104.21.1.84,,2026-02-04
172.67.128.238,,2026-02-04
13.126.18.223,,2026-02-04
20.60.145.206,,2026-02-04
46.161.0.94,,2026-02-04
148.178.64.0,RAT,2026-02-04
148.178.32.0,RAT,2026-02-04
207.56.192.0,RAT,2026-02-04
178.16.52.0,RAT,2026-02-04
156.234.208.0,RAT,2026-02-04
158.94.208.0,RAT,2026-02-04
23.226.52.0,RAT,2026-02-04
74.119.149.0,RAT,2026-02-04
23.226.51.0,RAT,2026-02-04
45.114.106.0,RAT,2026-02-04
104.21.94.121,,2026-02-05
172.67.223.70,,2026-02-05
172.67.142.73,,2026-02-05
104.21.71.23,,2026-02-05
172.67.213.242,,2026-02-05
104.21.16.157,,2026-02-05
50.16.27.236,"C2,Lokibot",2026-02-05
185.11.61.39,,2026-02-05
104.223.84.7,,2026-02-05
185.208.156.187,,2026-02-05
193.238.152.123,,2026-02-05
43.207.218.80,,2026-02-05
172.67.220.104,,2026-02-06
104.21.59.87,,2026-02-06
104.21.44.113,,2026-02-06
172.67.199.12,,2026-02-06
104.21.83.3,,2026-02-06
172.67.166.116,,2026-02-06
34.180.77.33,phishing,2026-02-06
172.67.210.199,phishing,2026-02-06
35.243.109.3,phishing,2026-02-06
104.21.41.233,phishing,2026-02-06
172.67.150.1,phishing,2026-02-06
116.202.213.15,phishing,2026-02-06
172.67.198.141,phishing,2026-02-06
34.104.161.11,phishing,2026-02-06
124.156.230.165,phishing,2026-02-06
34.97.180.180,phishing,2026-02-06
34.97.177.44,phishing,2026-02-06
104.21.95.11,phishing,2026-02-06
172.67.184.81,phishing,2026-02-06
167.148.186.123,phishing,2026-02-06
195.86.143.116,phishing,2026-02-06
172.67.187.76,,2026-02-06
104.21.80.228,,2026-02-06
147.189.173.120,"C2,RedLine",2026-02-06
