url,last_online,threat,tags,ip
http://178.16.55.189/files/7952516244/1C6zUEe.exe,2025-12-15,malware_download,"c2-monitor-auto,dropped-by-amadey,Vidar",178.16.55.189
https://github.com/vlad213-tex/1/raw/1/Tunnel.exe,2025-12-15,malware_download,"c2-monitor-auto,dropped-by-amadey",
http://62.60.226.159/defsyscn.exe,2025-12-15,malware_download,"c2-monitor-auto,dropped-by-amadey",62.60.226.159
http://188.227.196.169/lone/4dsa8f74d56sf4785ds7f8df5ds74f546ds4fdas784d8sa4d5,2025-12-15,malware_download,None,188.227.196.169
http://sffacoglobal.com/KOO.exe,2025-12-15,malware_download,exe,
http://178.16.55.189/files/1103877553/EAlY0SX.exe,2025-12-15,malware_download,"c2-monitor-auto,dropped-by-amadey,Vidar",178.16.55.189
https://quicq.top/quickq%E5%AE%89%E8%A3%85%E5%8C%85_12.11.26.zip,2025-12-15,malware_download,None,
https://zhigao5191.com/usr/uploads/file/202002/20200210195059_78353.rar,2025-12-15,malware_download,None,
https://lotus365win.pages.dev/app/lotus365_v2.apk,2025-12-15,malware_download,None,
https://tokituks.sbs/TikTok18.apk,2025-12-15,malware_download,None,
https://mastertv.mx/mastertv.apk,2025-12-15,malware_download,None,
http://zycdjz.com/editor%E6%B1%89%E5%8C%96%E7%89%88.rar,2025-12-15,malware_download,None,
https://tissstok18.sbs/TikTok18.apk,2025-12-15,malware_download,"apk ,banker",
https://paololucchesi.it/at/files/Beyond_WinEng.zip,2025-12-15,malware_download,None,
http://221.1.245.209:55527/bin.sh,2025-12-15,malware_download,None,221.1.245.209
http://221.1.245.209:55527/i,2025-12-15,malware_download,None,221.1.245.209
https://tikitokiuzb.com/TlkTok.apk,2025-12-15,malware_download,"apk ,banker",
http://223.151.252.100:47694/.i,2025-12-15,malware_download,hajime,223.151.252.100
http://211.158.78.7:42971/bin.sh,2025-12-15,malware_download,mirai,211.158.78.7
http://124.6.168.74:50542/bin.sh,2025-12-15,malware_download,mirai,124.6.168.74
http://42.57.218.62:60124/i,2025-12-15,malware_download,None,42.57.218.62
http://175.151.107.5:44434/i,2025-12-15,malware_download,None,175.151.107.5
http://211.158.78.7:42971/i,2025-12-15,malware_download,mirai,211.158.78.7
http://60.18.6.70:43497/i,2025-12-15,malware_download,None,60.18.6.70
http://123.189.154.117:37341/Mozi.m,2025-12-15,malware_download,None,123.189.154.117
http://37.255.229.18:30507/.i,2025-12-15,malware_download,hajime,37.255.229.18
http://124.6.168.74:50542/i,2025-12-15,malware_download,mirai,124.6.168.74
http://175.151.107.5:44434/bin.sh,2025-12-15,malware_download,None,175.151.107.5
http://61.137.159.216:41892/bin.sh,2025-12-15,malware_download,None,61.137.159.216
http://91.200.220.143/shadow.sh,2025-12-15,malware_download,mirai,91.200.220.143
