ip	tag
103.30.87.130	7777 Botnet
31.25.24.159	7777 Botnet
47.242.51.181	Ares RAT C2
107.172.31.101	AsyncRAT
158.94.208.206	AsyncRAT
157.20.182.29	AsyncRAT
195.3.223.146	AsyncRAT
157.20.182.25	AsyncRAT
188.218.81.73	AsyncRAT
157.20.182.24	AsyncRAT
191.93.118.254	AsyncRAT
157.20.182.28	AsyncRAT
164.68.120.30	AsyncRAT
94.154.35.73	AsyncRAT
45.81.23.27	AsyncRAT
178.16.54.222	AsyncRAT
95.9.236.210	AsyncRAT
195.66.215.248	AsyncRAT
196.251.100.50	BlackNet Botnet
2.44.116.198	Brute Ratel C4
109.115.89.31	Brute Ratel C4
3.114.19.102	Brute Ratel C4
54.249.141.45	Brute Ratel C4
47.94.22.128	BurpSuite
23.95.6.6	BurpSuite
47.99.34.158	BurpSuite
45.55.2.111	BurpSuite
46.249.102.41	BurpSuite
47.98.224.209	BurpSuite
38.102.85.20	BurpSuite
45.77.76.222	BurpSuite
64.181.235.0	BurpSuite
3.96.187.161	BurpSuite
52.199.82.99	BurpSuite
47.76.163.238	BurpSuite
83.147.241.206	BurpSuite
156.225.24.50	BurpSuite
18.132.177.238	BurpSuite
143.244.186.168	BurpSuite
173.255.192.109	BurpSuite
119.23.43.3	BurpSuite
157.230.107.196	BurpSuite
47.102.108.176	BurpSuite
121.43.238.183	BurpSuite
34.215.155.85	BurpSuite
44.202.35.26	BurpSuite
198.144.179.122	BurpSuite
8.134.18.3	BurpSuite
117.72.217.36	BurpSuite
52.14.64.7	BurpSuite
155.248.230.134	BurpSuite
44.239.165.208	BurpSuite
223.27.46.100	BurpSuite
60.204.231.70	BurpSuite
120.53.124.202	BurpSuite
185.165.169.222	BurpSuite
13.234.18.168	BurpSuite
23.95.240.226	BurpSuite
149.104.0.202	BurpSuite
213.35.111.88	BurpSuite
113.44.91.210	BurpSuite
157.7.114.235	BurpSuite
8.130.107.10	BurpSuite
38.58.57.12	BurpSuite
8.137.62.229	BurpSuite
113.45.177.191	BurpSuite
3.110.153.212	BurpSuite
8.134.147.233	BurpSuite
43.128.107.228	BurpSuite
80.249.147.184	BurpSuite
15.236.205.206	BurpSuite
120.27.241.98	BurpSuite
117.72.62.2	BurpSuite
139.59.138.247	BurpSuite
199.241.1.213	BurpSuite
20.198.10.217	BurpSuite
129.150.34.168	BurpSuite
81.200.146.35	BurpSuite
5.161.72.214	BurpSuite
35.153.59.29	BurpSuite
162.250.190.93	BurpSuite
118.121.45.54	BurpSuite
39.106.41.55	BurpSuite
120.79.88.89	BurpSuite
192.175.22.188	BurpSuite
131.186.57.140	BurpSuite
144.34.179.37	BurpSuite
150.136.136.192	BurpSuite
35.219.127.45	BurpSuite
90.156.225.193	BurpSuite
161.35.24.145	BurpSuite
5.2.72.106	BurpSuite
112.124.47.226	BurpSuite
163.192.60.217	BurpSuite
118.121.45.144	BurpSuite
47.106.179.48	BurpSuite
138.197.194.52	BurpSuite
108.61.81.4	BurpSuite
43.156.102.200	BurpSuite
8.155.52.126	BurpSuite
107.173.154.73	BurpSuite
52.26.240.227	BurpSuite
96.126.108.228	BurpSuite
157.90.74.12	BurpSuite
168.138.208.253	BurpSuite
47.107.127.173	BurpSuite
199.241.1.215	BurpSuite
156.238.233.41	BurpSuite
172.105.73.93	BurpSuite
43.163.233.138	BurpSuite
113.44.133.1	BurpSuite
95.110.142.86	BurpSuite
77.81.247.31	BurpSuite
157.230.21.24	BurpSuite
199.241.1.214	BurpSuite
51.89.84.155	BurpSuite
92.38.48.140	BurpSuite
95.179.211.228	BurpSuite
160.16.4.59	BurpSuite
101.42.49.202	BurpSuite
182.92.159.22	BurpSuite
167.99.116.253	BurpSuite
154.8.205.73	BurpSuite
194.163.189.143	BurpSuite
93.179.115.149	BurpSuite
2604:a880:1:20::264:4001	BurpSuite
154.83.13.187	BurpSuite
120.79.153.55	BurpSuite
43.167.199.62	BurpSuite
54.177.100.78	Caldera C2
18.220.52.24	Caldera C2
117.72.181.104	Cobalt Strike C2
82.157.235.117	Cobalt Strike C2
120.24.169.38	Cobalt Strike C2
151.243.95.233	Cobalt Strike C2
106.13.137.229	Cobalt Strike C2
150.158.170.241	Cobalt Strike C2
206.189.158.172	Cobalt Strike C2
47.120.70.161	Cobalt Strike C2
8.138.112.209	Cobalt Strike C2
123.57.239.178	Cobalt Strike C2
194.87.68.115	Cobalt Strike C2
59.110.28.230	Cobalt Strike C2
101.43.2.116	Cobalt Strike C2
47.107.136.106	Cobalt Strike C2
91.210.109.184	Cobalt Strike C2
39.104.78.25	Cobalt Strike C2
165.154.236.235	Cobalt Strike C2
8.138.120.80	Cobalt Strike C2
8.137.77.215	Cobalt Strike C2
121.43.57.122	Cobalt Strike C2
47.116.208.81	Cobalt Strike C2
47.93.28.103	Cobalt Strike C2
91.86.43.83	Cobalt Strike C2
35.231.121.102	Cobalt Strike C2
34.68.221.226	Cobalt Strike C2
152.32.169.68	Cobalt Strike C2
163.44.196.179	Cobalt Strike C2
8.155.161.181	Cobalt Strike C2
119.3.156.32	Cobalt Strike C2
112.125.88.176	Cobalt Strike C2
108.165.228.132	Cobalt Strike C2
208.87.203.19	Cobalt Strike C2
185.3.45.6	Cobalt Strike C2
124.71.32.19	Cobalt Strike C2
124.221.255.4	Cobalt Strike C2
43.142.137.169	Cobalt Strike C2
110.42.232.120	Cobalt Strike C2
8.137.149.67	Cobalt Strike C2
81.69.98.230	Cobalt Strike C2
115.120.245.134	Cobalt Strike C2
192.140.163.165	Cobalt Strike C2
4.157.249.247	Cobalt Strike C2
143.92.43.153	Cobalt Strike C2
43.153.150.122	Cobalt Strike C2
47.79.19.147	Cobalt Strike C2
119.45.160.160	Cobalt Strike C2
181.215.18.78	Cobalt Strike C2
47.93.216.2	Cobalt Strike C2
208.87.205.1	Cobalt Strike C2
119.45.29.172	Cobalt Strike C2
134.122.140.185	Cobalt Strike C2
81.70.37.146	Cobalt Strike C2
120.24.64.74	Cobalt Strike C2
129.212.185.115	Cobalt Strike C2
18.143.197.178	Cobalt Strike C2
152.32.202.240	Cobalt Strike C2
106.52.208.143	Cobalt Strike C2
159.75.221.127	Cobalt Strike C2
83.229.121.82	Cobalt Strike C2
118.89.81.201	Cobalt Strike C2
120.48.50.33	Cobalt Strike C2
193.112.84.248	Cobalt Strike C2
43.139.169.60	Cobalt Strike C2
178.16.55.53	Cobalt Strike C2
149.30.248.18	Cobalt Strike C2
13.39.18.150	Cobalt Strike C2
101.32.109.112	Cobalt Strike C2
43.134.7.96	Cobalt Strike C2
81.71.159.99	Cobalt Strike C2
101.34.66.77	Cobalt Strike C2
81.70.255.195	Cobalt Strike C2
121.41.18.122	Cobalt Strike C2
202.182.114.60	Cobalt Strike C2
101.132.173.62	Cobalt Strike C2
13.251.28.170	Cobalt Strike C2
106.75.215.96	Cobalt Strike C2
118.31.18.77	Cobalt Strike C2
163.47.9.13	Cobalt Strike C2
118.25.85.198	Cobalt Strike C2
106.54.239.134	Cobalt Strike C2
20.186.68.60	Cobalt Strike C2
20.172.239.49	Cobalt Strike C2
144.124.234.143	Cobalt Strike C2
18.168.199.109	Cobalt Strike C2
117.72.222.203	Cobalt Strike C2
116.62.226.163	Cobalt Strike C2
194.14.217.125	Cobalt Strike C2
47.113.186.138	Cobalt Strike C2
81.70.97.41	Cobalt Strike C2
122.51.93.94	Cobalt Strike C2
39.105.165.37	Cobalt Strike C2
8.153.97.202	Cobalt Strike C2
113.44.67.52	Cobalt Strike C2
123.57.2.124	Cobalt Strike C2
83.229.125.215	Cobalt Strike C2
8.153.205.30	Cobalt Strike C2
154.201.74.112	Cobalt Strike C2
114.132.150.96	Cobalt Strike C2
83.229.125.47	Cobalt Strike C2
106.75.162.108	Cobalt Strike C2
39.107.85.83	Cobalt Strike C2
47.109.201.173	Cobalt Strike C2
129.170.51.231	Cobalt Strike C2
119.91.64.59	Cobalt Strike C2
208.87.205.54	Cobalt Strike C2
117.72.242.9	Cobalt Strike C2
172.167.21.213	Cobalt Strike C2
45.32.37.156	Cobalt Strike C2
49.233.32.31	Cobalt Strike C2
143.92.43.231	Cobalt Strike C2
106.38.201.95	Cobalt Strike C2
179.43.186.214	Cobalt Strike C2
202.162.99.237	Cobalt Strike C2
