ip	tag
103.30.87.130	7777 Botnet
31.25.24.159	7777 Botnet
47.242.51.181	Ares RAT C2
95.9.236.210	AsyncRAT
158.94.208.206	AsyncRAT
107.172.31.101	AsyncRAT
157.20.182.24	AsyncRAT
157.20.182.25	AsyncRAT
164.68.120.30	AsyncRAT
94.154.35.73	AsyncRAT
191.93.118.254	AsyncRAT
195.66.215.248	AsyncRAT
178.16.54.222	AsyncRAT
45.81.23.27	AsyncRAT
144.172.103.138	AsyncRAT
188.218.81.73	AsyncRAT
144.126.149.104	AsyncRAT
216.250.250.224	AsyncRAT
5.253.86.251	BitRAT
2.34.147.176	Brute Ratel C4
54.249.141.45	Brute Ratel C4
3.114.19.102	Brute Ratel C4
223.27.46.100	BurpSuite
81.200.146.35	BurpSuite
112.124.47.226	BurpSuite
185.165.169.222	BurpSuite
107.173.154.73	BurpSuite
120.79.88.89	BurpSuite
154.40.41.246	BurpSuite
15.236.205.206	BurpSuite
5.161.72.214	BurpSuite
129.150.34.168	BurpSuite
8.134.147.233	BurpSuite
39.106.41.55	BurpSuite
199.241.1.215	BurpSuite
155.248.230.134	BurpSuite
38.147.172.210	BurpSuite
43.163.233.138	BurpSuite
157.230.107.196	BurpSuite
47.106.179.48	BurpSuite
121.43.238.183	BurpSuite
161.35.24.145	BurpSuite
143.244.186.168	BurpSuite
13.234.18.168	BurpSuite
113.45.177.191	BurpSuite
83.147.241.206	BurpSuite
120.79.153.55	BurpSuite
47.102.108.176	BurpSuite
23.95.6.6	BurpSuite
47.107.127.173	BurpSuite
60.204.231.70	BurpSuite
47.237.181.71	BurpSuite
43.167.199.62	BurpSuite
44.202.35.26	BurpSuite
8.155.52.126	BurpSuite
47.76.163.238	BurpSuite
43.128.107.228	BurpSuite
77.81.247.31	BurpSuite
101.42.49.202	BurpSuite
92.38.48.140	BurpSuite
35.166.21.89	BurpSuite
157.7.114.235	BurpSuite
199.241.1.213	BurpSuite
131.186.57.140	BurpSuite
120.53.124.202	BurpSuite
2604:a880:1:20::264:4001	BurpSuite
90.156.225.193	BurpSuite
38.58.57.12	BurpSuite
20.198.10.217	BurpSuite
51.89.84.155	BurpSuite
52.199.82.99	BurpSuite
156.238.233.41	BurpSuite
52.14.64.7	BurpSuite
194.226.248.10	BurpSuite
18.132.177.238	BurpSuite
80.249.147.184	BurpSuite
157.230.21.24	BurpSuite
96.126.108.228	BurpSuite
3.110.153.212	BurpSuite
144.34.179.37	BurpSuite
35.219.127.45	BurpSuite
108.61.81.4	BurpSuite
119.23.43.3	BurpSuite
162.250.190.93	BurpSuite
23.95.240.226	BurpSuite
59.110.33.151	BurpSuite
107.174.85.153	BurpSuite
168.138.208.253	BurpSuite
47.94.22.128	BurpSuite
199.241.1.214	BurpSuite
157.90.74.12	BurpSuite
167.99.116.253	BurpSuite
192.175.22.188	BurpSuite
117.72.217.36	BurpSuite
139.59.138.247	BurpSuite
138.197.194.52	BurpSuite
45.55.2.111	BurpSuite
5.2.72.106	BurpSuite
150.136.136.192	BurpSuite
149.104.0.202	BurpSuite
113.44.91.210	BurpSuite
100.22.25.0	BurpSuite
93.179.115.149	BurpSuite
8.137.62.229	BurpSuite
95.179.211.228	BurpSuite
154.83.13.187	BurpSuite
47.98.224.209	BurpSuite
38.102.85.20	BurpSuite
172.105.73.93	BurpSuite
154.8.205.73	BurpSuite
8.134.18.3	BurpSuite
45.77.76.222	BurpSuite
198.144.179.122	BurpSuite
47.94.23.151	BurpSuite
44.239.165.208	BurpSuite
182.92.159.22	BurpSuite
43.156.102.200	BurpSuite
163.192.60.217	BurpSuite
160.16.4.59	BurpSuite
113.44.133.1	BurpSuite
118.121.45.183	BurpSuite
8.130.107.10	BurpSuite
47.99.34.158	BurpSuite
213.35.111.88	BurpSuite
64.181.235.0	BurpSuite
117.72.62.2	BurpSuite
35.153.59.29	BurpSuite
95.110.142.86	BurpSuite
54.177.100.78	Caldera C2
18.220.52.24	Caldera C2
106.54.239.134	Cobalt Strike C2
111.228.3.39	Cobalt Strike C2
43.161.245.186	Cobalt Strike C2
124.71.109.52	Cobalt Strike C2
8.153.97.202	Cobalt Strike C2
34.68.221.226	Cobalt Strike C2
23.165.200.15	Cobalt Strike C2
120.79.229.151	Cobalt Strike C2
47.92.148.108	Cobalt Strike C2
115.190.161.178	Cobalt Strike C2
202.56.160.190	Cobalt Strike C2
106.55.231.65	Cobalt Strike C2
107.174.95.25	Cobalt Strike C2
91.86.43.83	Cobalt Strike C2
115.120.245.134	Cobalt Strike C2
222.255.214.236	Cobalt Strike C2
68.64.176.42	Cobalt Strike C2
106.75.215.96	Cobalt Strike C2
59.110.28.230	Cobalt Strike C2
120.48.50.33	Cobalt Strike C2
103.23.149.233	Cobalt Strike C2
43.255.30.4	Cobalt Strike C2
129.204.103.151	Cobalt Strike C2
156.245.248.173	Cobalt Strike C2
117.72.56.12	Cobalt Strike C2
165.22.48.119	Cobalt Strike C2
163.47.9.13	Cobalt Strike C2
171.244.143.184	Cobalt Strike C2
154.201.74.112	Cobalt Strike C2
47.117.143.185	Cobalt Strike C2
101.34.66.77	Cobalt Strike C2
20.172.239.49	Cobalt Strike C2
43.139.3.86	Cobalt Strike C2
47.84.116.153	Cobalt Strike C2
172.190.244.213	Cobalt Strike C2
1.13.175.24	Cobalt Strike C2
4.157.249.247	Cobalt Strike C2
156.227.233.153	Cobalt Strike C2
122.51.46.102	Cobalt Strike C2
160.250.128.197	Cobalt Strike C2
101.43.166.60	Cobalt Strike C2
124.156.113.135	Cobalt Strike C2
123.57.239.178	Cobalt Strike C2
81.69.98.230	Cobalt Strike C2
85.158.108.190	Cobalt Strike C2
43.163.0.162	Cobalt Strike C2
101.35.92.115	Cobalt Strike C2
38.60.199.127	Cobalt Strike C2
103.241.72.221	Cobalt Strike C2
136.115.102.225	Cobalt Strike C2
124.221.215.174	Cobalt Strike C2
49.235.84.148	Cobalt Strike C2
20.74.209.192	Cobalt Strike C2
39.97.47.45	Cobalt Strike C2
165.154.236.235	Cobalt Strike C2
43.142.137.169	Cobalt Strike C2
110.40.198.62	Cobalt Strike C2
121.229.205.238	Cobalt Strike C2
47.98.165.119	Cobalt Strike C2
14.225.0.210	Cobalt Strike C2
144.124.255.102	Cobalt Strike C2
117.72.206.39	Cobalt Strike C2
194.87.68.115	Cobalt Strike C2
8.130.13.250	Cobalt Strike C2
150.158.119.242	Cobalt Strike C2
134.122.140.185	Cobalt Strike C2
43.134.7.96	Cobalt Strike C2
8.152.99.85	Cobalt Strike C2
39.104.78.25	Cobalt Strike C2
180.97.215.152	Cobalt Strike C2
20.186.68.60	Cobalt Strike C2
34.19.22.113	Cobalt Strike C2
8.138.112.209	Cobalt Strike C2
23.94.232.137	Cobalt Strike C2
8.147.128.54	Cobalt Strike C2
118.25.147.157	Cobalt Strike C2
114.66.38.114	Cobalt Strike C2
47.97.113.42	Cobalt Strike C2
81.70.255.195	Cobalt Strike C2
124.221.32.87	Cobalt Strike C2
47.243.175.24	Cobalt Strike C2
111.228.55.96	Cobalt Strike C2
39.105.61.160	Cobalt Strike C2
124.223.114.203	Cobalt Strike C2
152.32.251.78	Cobalt Strike C2
119.45.250.8	Cobalt Strike C2
8.137.77.49	Cobalt Strike C2
101.35.109.246	Cobalt Strike C2
103.171.35.66	Cobalt Strike C2
122.51.93.94	Cobalt Strike C2
211.184.175.246	Cobalt Strike C2
83.229.126.183	Cobalt Strike C2
43.163.112.217	Cobalt Strike C2
47.242.129.79	Cobalt Strike C2
38.147.172.196	Cobalt Strike C2
109.205.213.253	Cobalt Strike C2
1.12.231.30	Cobalt Strike C2
209.146.113.15	Cobalt Strike C2
1.15.25.148	Cobalt Strike C2
43.139.169.60	Cobalt Strike C2
152.32.157.188	Cobalt Strike C2
107.175.94.110	Cobalt Strike C2
124.221.255.4	Cobalt Strike C2
39.98.48.153	Cobalt Strike C2
47.113.98.42	Cobalt Strike C2
146.190.171.156	Cobalt Strike C2
129.170.51.231	Cobalt Strike C2
118.89.81.201	Cobalt Strike C2
188.166.178.198	Cobalt Strike C2
118.31.18.77	Cobalt Strike C2
118.31.16.216	Cobalt Strike C2
202.162.99.237	Cobalt Strike C2
42.121.223.74	Cobalt Strike C2
180.76.141.175	Cobalt Strike C2
