ip	tag
103.30.87.130	7777 Botnet
47.242.51.181	Ares RAT C2
2.59.135.83	AsyncRAT
107.172.31.101	AsyncRAT
158.94.210.195	AsyncRAT
45.84.198.55	AsyncRAT
45.81.23.27	AsyncRAT
157.20.182.25	AsyncRAT
195.66.215.248	AsyncRAT
144.172.103.138	AsyncRAT
178.16.54.222	AsyncRAT
144.126.149.104	AsyncRAT
158.94.208.206	AsyncRAT
94.154.35.73	AsyncRAT
164.68.120.30	AsyncRAT
191.93.118.254	AsyncRAT
188.218.81.73	AsyncRAT
216.250.250.224	AsyncRAT
157.20.182.24	AsyncRAT
5.253.86.251	BitRAT
35.77.235.12	Brute Ratel C4
54.168.37.22	Brute Ratel C4
2.34.147.176	Brute Ratel C4
54.249.141.45	Brute Ratel C4
3.114.19.102	Brute Ratel C4
23.95.240.226	BurpSuite
18.132.177.238	BurpSuite
112.124.47.226	BurpSuite
168.138.208.253	BurpSuite
8.130.72.117	BurpSuite
161.35.24.145	BurpSuite
47.99.34.158	BurpSuite
163.192.60.217	BurpSuite
51.89.84.155	BurpSuite
47.237.181.71	BurpSuite
122.51.28.136	BurpSuite
155.248.230.134	BurpSuite
8.134.147.233	BurpSuite
160.16.4.59	BurpSuite
93.179.115.149	BurpSuite
199.241.1.213	BurpSuite
23.95.6.6	BurpSuite
35.219.127.45	BurpSuite
157.230.107.196	BurpSuite
167.99.116.253	BurpSuite
47.76.163.238	BurpSuite
77.81.247.31	BurpSuite
172.105.7.26	BurpSuite
120.79.153.55	BurpSuite
113.44.91.210	BurpSuite
148.113.140.193	BurpSuite
157.90.74.12	BurpSuite
43.156.102.200	BurpSuite
185.26.48.29	BurpSuite
108.61.81.4	BurpSuite
64.181.235.0	BurpSuite
2604:a880:1:20::264:4001	BurpSuite
15.236.205.206	BurpSuite
107.173.154.73	BurpSuite
185.165.169.222	BurpSuite
84.247.148.116	BurpSuite
44.239.165.208	BurpSuite
43.128.107.228	BurpSuite
173.255.192.109	BurpSuite
3.110.153.212	BurpSuite
44.202.35.26	BurpSuite
131.186.57.140	BurpSuite
8.134.18.3	BurpSuite
44.254.201.255	BurpSuite
156.238.233.41	BurpSuite
154.83.13.187	BurpSuite
107.174.85.153	BurpSuite
113.44.133.1	BurpSuite
60.204.231.70	BurpSuite
154.8.205.73	BurpSuite
47.107.127.173	BurpSuite
5.2.72.106	BurpSuite
101.42.49.202	BurpSuite
157.7.114.235	BurpSuite
138.197.194.52	BurpSuite
8.155.52.126	BurpSuite
38.58.57.12	BurpSuite
47.94.22.128	BurpSuite
13.234.18.168	BurpSuite
96.126.108.228	BurpSuite
45.55.2.111	BurpSuite
129.150.34.168	BurpSuite
172.105.73.93	BurpSuite
121.43.238.183	BurpSuite
45.77.76.222	BurpSuite
47.98.224.209	BurpSuite
119.23.43.3	BurpSuite
120.79.88.89	BurpSuite
38.102.85.20	BurpSuite
113.31.109.95	BurpSuite
117.72.217.36	BurpSuite
47.102.108.176	BurpSuite
182.92.159.22	BurpSuite
52.14.64.7	BurpSuite
213.35.111.88	BurpSuite
38.147.172.210	BurpSuite
120.53.124.202	BurpSuite
35.153.59.29	BurpSuite
120.55.1.182	BurpSuite
182.135.215.86	BurpSuite
113.45.177.191	BurpSuite
47.94.23.151	BurpSuite
47.106.179.48	BurpSuite
162.250.190.93	BurpSuite
39.106.41.55	BurpSuite
192.175.22.188	BurpSuite
198.144.179.122	BurpSuite
154.40.41.246	BurpSuite
223.27.46.100	BurpSuite
47.98.125.4	BurpSuite
5.161.72.214	BurpSuite
81.200.146.35	BurpSuite
199.241.1.214	BurpSuite
117.72.62.2	BurpSuite
52.199.82.99	BurpSuite
139.59.138.247	BurpSuite
157.230.21.24	BurpSuite
144.34.179.37	BurpSuite
118.121.45.183	BurpSuite
43.167.199.62	BurpSuite
149.104.0.202	BurpSuite
43.163.233.138	BurpSuite
8.137.62.229	BurpSuite
199.241.1.215	BurpSuite
80.249.147.184	BurpSuite
143.244.186.168	BurpSuite
90.156.225.193	BurpSuite
95.179.211.228	BurpSuite
150.136.136.192	BurpSuite
8.130.107.10	BurpSuite
49.234.50.217	BurpSuite
18.220.52.24	Caldera C2
54.177.100.78	Caldera C2
172.167.21.213	Cobalt Strike C2
18.139.83.173	Cobalt Strike C2
8.130.13.250	Cobalt Strike C2
104.42.27.32	Cobalt Strike C2
49.233.32.31	Cobalt Strike C2
198.12.85.86	Cobalt Strike C2
8.219.76.168	Cobalt Strike C2
124.221.32.87	Cobalt Strike C2
152.42.160.252	Cobalt Strike C2
34.56.42.78	Cobalt Strike C2
15.228.3.86	Cobalt Strike C2
81.70.186.19	Cobalt Strike C2
101.132.173.62	Cobalt Strike C2
160.250.128.197	Cobalt Strike C2
124.221.255.4	Cobalt Strike C2
106.55.231.65	Cobalt Strike C2
115.190.235.92	Cobalt Strike C2
198.251.69.241	Cobalt Strike C2
1.12.231.30	Cobalt Strike C2
43.154.140.214	Cobalt Strike C2
163.47.9.13	Cobalt Strike C2
111.92.243.40	Cobalt Strike C2
101.34.66.77	Cobalt Strike C2
115.120.245.134	Cobalt Strike C2
47.107.136.106	Cobalt Strike C2
43.139.50.42	Cobalt Strike C2
123.57.239.178	Cobalt Strike C2
202.162.99.237	Cobalt Strike C2
165.154.226.142	Cobalt Strike C2
114.132.150.96	Cobalt Strike C2
8.137.77.49	Cobalt Strike C2
119.45.250.8	Cobalt Strike C2
1.14.157.231	Cobalt Strike C2
154.201.74.112	Cobalt Strike C2
1.14.241.63	Cobalt Strike C2
202.56.160.190	Cobalt Strike C2
23.165.200.15	Cobalt Strike C2
165.22.48.119	Cobalt Strike C2
39.97.47.45	Cobalt Strike C2
35.182.254.92	Cobalt Strike C2
198.23.196.130	Cobalt Strike C2
121.43.57.122	Cobalt Strike C2
106.12.219.245	Cobalt Strike C2
110.42.232.120	Cobalt Strike C2
40.77.86.17	Cobalt Strike C2
115.190.160.206	Cobalt Strike C2
43.155.252.158	Cobalt Strike C2
150.187.25.242	Cobalt Strike C2
152.32.202.240	Cobalt Strike C2
180.76.141.175	Cobalt Strike C2
195.133.23.138	Cobalt Strike C2
124.223.114.203	Cobalt Strike C2
118.25.85.198	Cobalt Strike C2
123.207.20.187	Cobalt Strike C2
14.103.175.50	Cobalt Strike C2
8.159.146.72	Cobalt Strike C2
110.40.198.62	Cobalt Strike C2
107.175.94.110	Cobalt Strike C2
59.110.28.230	Cobalt Strike C2
109.205.213.253	Cobalt Strike C2
18.168.199.109	Cobalt Strike C2
36.140.162.173	Cobalt Strike C2
8.152.99.85	Cobalt Strike C2
20.172.239.49	Cobalt Strike C2
20.74.209.192	Cobalt Strike C2
106.75.162.108	Cobalt Strike C2
47.113.98.42	Cobalt Strike C2
178.239.123.144	Cobalt Strike C2
39.104.78.25	Cobalt Strike C2
81.70.255.195	Cobalt Strike C2
117.72.242.9	Cobalt Strike C2
34.19.22.113	Cobalt Strike C2
209.97.168.63	Cobalt Strike C2
129.28.85.210	Cobalt Strike C2
119.91.64.59	Cobalt Strike C2
39.105.165.37	Cobalt Strike C2
101.201.180.191	Cobalt Strike C2
35.231.121.102	Cobalt Strike C2
20.51.193.170	Cobalt Strike C2
42.51.34.56	Cobalt Strike C2
111.228.55.96	Cobalt Strike C2
8.148.194.157	Cobalt Strike C2
122.51.93.94	Cobalt Strike C2
8.138.112.209	Cobalt Strike C2
4.246.176.200	Cobalt Strike C2
47.109.48.57	Cobalt Strike C2
47.109.145.121	Cobalt Strike C2
150.158.170.241	Cobalt Strike C2
119.3.156.32	Cobalt Strike C2
42.121.223.74	Cobalt Strike C2
47.121.137.8	Cobalt Strike C2
47.121.29.60	Cobalt Strike C2
43.138.30.109	Cobalt Strike C2
47.90.142.15	Cobalt Strike C2
119.45.29.172	Cobalt Strike C2
47.120.70.161	Cobalt Strike C2
8.137.149.67	Cobalt Strike C2
47.79.19.147	Cobalt Strike C2
4.201.220.7	Cobalt Strike C2
72.146.31.117	Cobalt Strike C2
40.67.146.12	Cobalt Strike C2
47.117.143.185	Cobalt Strike C2
122.51.46.102	Cobalt Strike C2
62.234.51.80	Cobalt Strike C2
188.166.178.198	Cobalt Strike C2
116.198.233.179	Cobalt Strike C2
106.75.215.96	Cobalt Strike C2
101.133.225.51	Cobalt Strike C2
106.54.239.134	Cobalt Strike C2
8.137.114.210	Cobalt Strike C2
118.31.16.216	Cobalt Strike C2
170.64.221.190	Cobalt Strike C2
43.134.7.96	Cobalt Strike C2
1.15.25.148	Cobalt Strike C2
185.195.65.55	Cobalt Strike C2
