first_seen_utc,malware_printable,confidence_level,ip,port
2026-04-22,Unknown malware,100,144.31.236.60,443
2026-04-22,Unknown malware,100,213.139.77.228,443
2026-04-22,Unknown malware,90,46.183.25.42,443
2026-04-22,Unknown malware,100,35.212.234.225,443
2026-04-22,Unknown malware,100,3.226.119.211,443
2026-04-22,Unknown malware,100,46.101.191.5,22
2026-04-22,Unknown malware,100,194.87.161.238,8080
2026-04-22,Unknown Stealer,100,31.57.201.126,2222
2026-04-22,Cobalt Strike,100,192.3.98.166,1234
2026-04-22,Cobalt Strike,100,100.52.249.75,443
2026-04-22,Vidar,100,185.56.45.69,443
2026-04-22,Vidar,100,74.0.48.181,443
2026-04-21,Remcos,75,209.54.101.159,3000
2026-04-21,XWorm,75,45.157.233.139,25565
2026-04-21,Mirai,100,176.65.134.30,19286
2026-04-21,ValleyRAT,75,156.247.40.40,1527
2026-04-21,ValleyRAT,75,192.252.176.120,1527
2026-04-21,ValleyRAT,75,38.45.126.242,1527
2026-04-21,ValleyRAT,75,38.91.113.58,1527
2026-04-21,ValleyRAT,75,38.91.113.59,1527
2026-04-21,ValleyRAT,75,56.155.111.29,5188
2026-04-21,Mirai,80,176.65.139.141,5555
2026-04-21,Nanocore RAT,100,104.21.10.163,8080
2026-04-21,ValleyRAT,100,151.242.152.131,4408
2026-04-21,ValleyRAT,100,39.102.72.5,8888
2026-04-21,ValleyRAT,100,103.215.77.17,4488
2026-04-21,Remcos,100,181.71.188.50,60100
2026-04-21,RedLine Stealer,100,209.50.250.24,43794
2026-04-21,Nanocore RAT,100,104.21.57.118,443
2026-04-21,Nanocore RAT,100,172.67.190.90,443
2026-04-21,Nanocore RAT,100,54.254.87.155,443
2026-04-21,Nanocore RAT,100,13.228.206.57,443
2026-04-21,Nanocore RAT,100,52.76.87.167,443
2026-04-21,Nanocore RAT,100,3.0.87.152,443
2026-04-21,Nanocore RAT,100,13.215.55.10,443
2026-04-21,Nanocore RAT,100,104.21.56.230,443
2026-04-21,Nanocore RAT,100,172.67.137.172,443
2026-04-21,Cobalt Strike,75,43.225.158.58,53
2026-04-21,Cobalt Strike,100,107.174.186.78,4445
2026-04-21,Cobalt Strike,100,104.143.39.243,443
2026-04-21,SectopRAT,100,151.59.151.53,8080
2026-04-21,Xtreme RAT,100,154.41.194.79,139
2026-04-21,Mirai,80,156.226.174.212,1312
2026-04-21,Chaos,100,95.216.39.54,8080
2026-04-21,Kimwolf,100,64.225.72.155,25001
2026-04-21,Kimwolf,100,64.225.77.25,25001
2026-04-21,Kimwolf,100,188.166.98.120,25001
2026-04-21,Cobalt Strike,100,139.224.67.220,80
2026-04-21,Cobalt Strike,100,38.47.100.32,801
2026-04-21,Cobalt Strike,100,1.92.125.220,4433
2026-04-21,Cobalt Strike,100,135.136.178.226,80
2026-04-21,Cobalt Strike,100,103.97.176.69,80
2026-04-21,XWorm,75,209.99.188.19,8777
2026-04-21,Vidar,100,185.56.45.63,443
2026-04-21,Remcos,75,95.211.165.137,2404
2026-04-21,Mirai,80,176.65.139.141,9931
2026-04-21,Kimwolf,100,172.235.163.136,25001
2026-04-21,Kimwolf,100,172.235.163.116,25001
2026-04-21,Kimwolf,100,152.42.142.122,25001
2026-04-21,Kimwolf,100,172.235.163.157,25001
2026-04-21,Kimwolf,100,172.235.163.141,25001
2026-04-21,Kimwolf,100,172.235.163.119,25001
2026-04-20,Remcos,75,69.67.172.210,33605
2026-04-20,XWorm,75,46.151.182.197,7007
2026-04-20,Remcos,75,69.67.172.210,8019
2026-04-20,Remcos,75,69.67.172.210,33603
2026-04-20,Remcos,75,23.254.226.86,8019
2026-04-20,Remcos,75,23.254.226.86,33603
2026-04-20,XWorm,75,179.43.176.101,443
2026-04-20,Remcos,75,69.67.172.210,33601
2026-04-20,Nanocore RAT,100,128.90.141.158,54984
2026-04-20,Mirai,80,51.89.90.179,443
2026-04-20,Unknown malware,75,192.3.45.7,3121
2026-04-20,XWorm,75,45.141.148.126,1122
2026-04-20,ValleyRAT,100,20.6.131.88,443
2026-04-20,PureRAT,75,64.89.160.73,8443
2026-04-20,PureRAT,75,45.225.135.61,3398
2026-04-20,Vidar,100,136.243.203.107,443
2026-04-20,Vidar,100,136.243.203.96,443
2026-04-20,Vidar,100,159.69.15.196,443
2026-04-20,Vidar,100,138.199.246.13,443
2026-04-20,Vidar,100,185.56.45.235,443
2026-04-20,Vidar,100,46.225.155.213,443
2026-04-20,Vidar,100,62.238.12.177,443
2026-04-20,Vidar,100,91.98.135.119,443
2026-04-20,Vidar,100,136.243.203.103,443
2026-04-20,Vidar,100,49.13.193.220,443
2026-04-20,Vidar,100,178.104.98.66,443
2026-04-20,Vidar,100,91.99.3.102,443
2026-04-20,Vidar,100,136.243.203.105,443
2026-04-20,Vidar,100,46.225.19.188,443
2026-04-20,Vidar,100,91.99.6.138,443
2026-04-20,Vidar,100,136.243.87.135,443
2026-04-20,Vidar,100,138.199.221.242,443
2026-04-20,Vidar,100,138.199.246.15,443
2026-04-20,Vidar,100,199.91.220.89,443
2026-04-20,Vidar,100,136.243.203.101,443
2026-04-20,Vidar,100,136.243.203.104,443
2026-04-20,Vidar,100,31.57.129.30,443
2026-04-20,Vidar,100,136.243.203.111,443
2026-04-20,Vidar,100,178.104.153.9,443
2026-04-20,Vidar,100,136.243.203.106,443
2026-04-20,Vidar,100,91.98.226.49,443
2026-04-20,Vidar,100,88.198.157.133,443
2026-04-20,Vidar,100,178.104.102.219,443
