ip	first_seen_utc	tag
157.20.182.75	2025-12-10	UDPGangster Campaigns Target Multiple Countries
64.7.198.12	2025-12-10	UDPGangster Campaigns Target Multiple Countries
79.110.49.212	2025-12-10	The ChimeraWire trojan boosts website popularity by skillfully pretending to be human
91.200.14.14	2025-12-10	The ChimeraWire trojan boosts website popularity by skillfully pretending to be human
178.16.52.145	2025-12-10	Threat Spotlight: Storm-0249 Moves from Mass Phishing to Precision EDR Exploitation
185.149.146.118	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.196.9.222	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.196.10.8	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.196.9.80	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
192.153.57.125	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
45.155.249.121	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
77.83.207.55	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
104.225.129.171	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
144.208.126.50	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
147.45.177.127	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
168.100.8.84	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
178.17.57.102	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
178.17.57.103	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
178.17.57.153	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.125.50.125	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.156.248.24	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.196.11.171	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.208.158.250	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.236.20.154	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.39.19.164	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.39.19.180	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.39.19.181	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
185.39.19.94	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
192.109.138.102	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
192.124.178.74	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
194.76.227.242	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
195.149.146.118	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
195.85.115.44	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
31.58.50.160	2025-12-10	IOC - GrayBravo’s CastleLoader Activity Clusters Target Multiple Industries
