ip	first_seen_utc	tag
205.210.31.53	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.54	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.55	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.56	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.57	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.58	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.6	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.60	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.65	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.66	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.70	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.74	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.76	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.82	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.83	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.84	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.85	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.89	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.90	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.93	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.94	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
205.210.31.96	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
209.50.181.218	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
20.169.77.227	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
212.97.64.25	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
23.27.145.132	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
23.27.145.49	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
23.27.145.60	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
45.63.12.144	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
47.79.202.180	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
47.79.202.240	2026-01-13	Oz Batch: 49 IOCs (avg BDE: 80)
