ip	first_seen_utc	tag
167.86.75.145	2025-12-17	DugganUSA Feed Harvest - 2025-12-17
85.11.67.197	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
15.222.125.41	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
37.9.171.97	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
18.159.32.191	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
44.209.229.113	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
179.113.152.178	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
38.148.242.220	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.29	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.27	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.24	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.14	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.7	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.8	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.5	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.28	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.235.174.19	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
106.52.185.141	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
121.12.220.167	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
129.204.11.247	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
23.132.164.104	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
104.168.101.197	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.190.4	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.34	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.6	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.33	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.223	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.5	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.243	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.190.3	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.190.5	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.225	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.221	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.244	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.3	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.35	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.189.28	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.189.27	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.241	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.224	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.189.26	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.222	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.36	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.190.2	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.245	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.92.188.242	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
185.34.144.4	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
86.54.42.241	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
86.54.42.243	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
95.217.245.21	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
157.180.35.209	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
91.124.149.199	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
3.12.156.241	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
142.247.230.177	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
124.95.181.13	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
13.58.223.243	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
154.84.86.142	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
3.18.128.17	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
143.198.73.49	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
54.162.221.69	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
103.177.47.194	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
213.163.206.255	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
69.167.10.160	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
122.176.154.198	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
52.38.110.204	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
159.89.165.51	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
102.117.166.221	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
51.21.199.243	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
95.119.251.225	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
172.206.105.159	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
178.16.53.92	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
163.5.169.62	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
8.130.74.111	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
106.52.70.88	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
85.121.148.217	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
156.234.152.181	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
147.45.211.80	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
198.46.216.206	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
91.92.243.68	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
176.65.132.139	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
38.242.144.218	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
192.253.229.223	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
208.91.189.156	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
179.0.178.79	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
70.42.223.51	2025-12-17	OSINT Volley 2025-12-17 - ClearFake/Unknown malware/Quasar RAT
