ip	first_seen_utc	tag
188.119.123.91	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
34.136.172.215	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
173.212.250.92	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.67.26.237	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
1.55.101.190	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
181.214.100.68	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.234.216.177	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
195.20.17.33	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
45.93.20.50	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
54.83.104.76	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
103.177.47.147	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
3.114.19.102	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
144.126.149.104	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.234.101.163	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.234.101.170	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
204.77.130.20	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
115.190.238.185	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
39.104.81.39	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
111.231.11.55	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
159.65.222.92	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
87.121.84.60	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
213.209.143.76	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
16.163.15.152	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
62.146.175.106	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
87.242.106.13	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
45.13.225.72	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
91.238.104.82	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
139.59.116.230	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
199.101.109.57	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
54.169.194.248	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
107.172.31.101	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
178.16.53.119	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
154.222.18.152	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
149.104.30.242	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.234.101.168	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
156.234.145.52	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
13.213.128.58	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
89.111.149.164	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
199.101.111.88	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
3.85.108.239	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
31.56.27.19	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
109.123.227.146	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
137.220.152.212	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
51.79.73.237	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
54.226.9.14	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
54.159.7.215	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
3.89.30.186	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
45.227.254.130	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
43.103.2.130	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
148.253.212.135	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
193.233.202.239	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
92.63.106.145	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
176.117.107.175	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
159.223.52.78	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
80.66.72.158	2025-12-14	OSINT Volley 2025-12-14 - Cobalt Strike/ClearFake/Unknown malware
