pulse_id	first_seen_utc	name	tags	ipv4_count
69e847c8886880730d8fef93	2026-04-22	DugganUSA Threat Intel 2026-04-22 #2		629
69e847c5754d28246f5f62c9	2026-04-22	DugganUSA Threat Intel 2026-04-22 #1		995
69e8354186e254acafbb389d	2026-04-22	IOC - DFIR Report – The Gentlemen & SystemBC: A Sneak Peek Behind the Proxy		2
69e8340378ab95c2cb86cf28	2026-04-22	IOC - Dissecting FudCrypt: A Real-World Malware Crypting Service Analysis		9
69e8285cf6d3b4453e0949bf	2026-04-22	IOC - QEMU abused to evade detection and enable ransomware delivery		4
69e827168edcf67707285b4e	2026-04-22	Same packet, different magic: Hits India's banking sector and Korea geopolitics		1
69e82714e5cf2d1fb9fe1b0a	2026-04-22	Mach-O Man Malware: What CISOs Need to Know		1
69e826adedfa161e6f6a2eee	2026-04-22	Malware Filter - Botnet List - 21-04-2026		498
69e826abca56bc8b3f5d6fff	2026-04-22	URLHaus data - 21-04-2026 (Part 4)		69
69e826aaf7b88417d4501cb7	2026-04-22	URLHaus data - 21-04-2026 (Part 3)		141
69e826a9ba52f8431e47a03a	2026-04-22	URLHaus data - 21-04-2026 (Part 2)		87
69e826a8670181dc2762d641	2026-04-22	URLHaus data - 21-04-2026 (Part 1)		62
69e826a63b0d78a2d5a53132	2026-04-22	Twitter Feed - bad_packets - 21-04-2026		1
69e826a5ea332f5a6c9abb9b	2026-04-22	Twitter Feed - sicehice - 21-04-2026		2
69e826a41ece39ee9360b83f	2026-04-22	Twitter Feed - phatomcandle - 21-04-2026		1
69e8ba09e4dd6a3c1d02d816	2026-04-22	MustangPanda		1
69e8ba09e4dd6a3c1d02d816	2026-04-22	MustangPanda		1
69e847c8886880730d8fef93	2026-04-22	DugganUSA Threat Intel 2026-04-22 #2		629
69e847c5754d28246f5f62c9	2026-04-22	DugganUSA Threat Intel 2026-04-22 #1		995
69e8340378ab95c2cb86cf28	2026-04-22	IOC - Dissecting FudCrypt: A Real-World Malware Crypting Service Analysis		9
69e8285cf6d3b4453e0949bf	2026-04-22	IOC - QEMU abused to evade detection and enable ransomware delivery		4
69e827168edcf67707285b4e	2026-04-22	Same packet, different magic: Hits India's banking sector and Korea geopolitics		1
69e82714e5cf2d1fb9fe1b0a	2026-04-22	Mach-O Man Malware: What CISOs Need to Know		1
69e826adedfa161e6f6a2eee	2026-04-22	Malware Filter - Botnet List - 21-04-2026		498
69e826abca56bc8b3f5d6fff	2026-04-22	URLHaus data - 21-04-2026 (Part 4)		69
69e826aaf7b88417d4501cb7	2026-04-22	URLHaus data - 21-04-2026 (Part 3)		141
69e826a9ba52f8431e47a03a	2026-04-22	URLHaus data - 21-04-2026 (Part 2)		87
69e826a8670181dc2762d641	2026-04-22	URLHaus data - 21-04-2026 (Part 1)		62
69e826a63b0d78a2d5a53132	2026-04-22	Twitter Feed - bad_packets - 21-04-2026		1
69e826a5ea332f5a6c9abb9b	2026-04-22	Twitter Feed - sicehice - 21-04-2026		2
69e826a41ece39ee9360b83f	2026-04-22	Twitter Feed - phatomcandle - 21-04-2026		1
69e847c5754d28246f5f62c9	2026-04-22	DugganUSA Threat Intel 2026-04-22 #1		995
69e8340378ab95c2cb86cf28	2026-04-22	IOC - Dissecting FudCrypt: A Real-World Malware Crypting Service Analysis		9
69e8285cf6d3b4453e0949bf	2026-04-22	IOC - QEMU abused to evade detection and enable ransomware delivery		4
69e82714e5cf2d1fb9fe1b0a	2026-04-22	Mach-O Man Malware: What CISOs Need to Know		1
69e826aaf7b88417d4501cb7	2026-04-22	URLHaus data - 21-04-2026 (Part 3)		141
69e826a9ba52f8431e47a03a	2026-04-22	URLHaus data - 21-04-2026 (Part 2)		87
69e826a63b0d78a2d5a53132	2026-04-22	Twitter Feed - bad_packets - 21-04-2026		1
69e826a5ea332f5a6c9abb9b	2026-04-22	Twitter Feed - sicehice - 21-04-2026		2
69e8c1fb96869b14e2c565a2	2026-04-22	TwizAdmin -- Multi-Stage Crypto Clipper, Infostealer & Ransomware Operation		1
