ip	first_seen_utc	tag
34.204.119.63	2026-01-14	DugganUSA Feed Harvest - 2026-01-14
205.210.31.90	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
205.210.31.93	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
205.210.31.94	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
205.210.31.96	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
209.50.181.218	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
20.169.77.227	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
212.97.64.25	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
23.27.145.132	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
23.27.145.49	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
23.27.145.60	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
45.63.12.144	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
47.79.202.180	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
47.79.202.240	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
47.79.202.7	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
52.159.225.196	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
52.234.40.193	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.101	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.153	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.185	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.206	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.231	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.233	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.240	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.45	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.46	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.48	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.56	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
54.39.89.97	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
62.133.45.2	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
89.188.76.176	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
92.119.177.87	2026-01-14	Oz Batch: 31 IOCs (avg BDE: 80)
43.134.101.238	2026-01-14	OSINT Volley 2026-01-14 - Unknown Stealer/Unknown malware/Vidar
165.232.84.105	2026-01-14	OSINT Volley 2026-01-14 - Unknown Stealer/Unknown malware/Vidar
137.184.0.179	2026-01-14	OSINT Volley 2026-01-14 - Unknown Stealer/Unknown malware/Vidar
38.60.249.226	2026-01-14	OSINT Volley 2026-01-14 - Unknown Stealer/Unknown malware/Vidar
