pulse_id	first_seen_utc	name	tags	ipv4_count
69511aede66c9f45ff4f16b0	2025-12-28	DugganUSA Feed Harvest - 2025-12-28		1
69511a40393e558f548744f2	2025-12-28	Oz Batch: 18 IOCs (avg BDE: 80)		18
6951196bd2076fc12fcec26b	2025-12-28	OSINT Volley 2025-12-28 - ClearFake/Unknown malware/DragonForce		62
695118e2fdea41e0ba2aebf7	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695118cefe291ada74b771bc	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695118c3debd6dd3acd17220	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695118bcbe5078dc79a44b07	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695118b4b07423989ce3b920	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695118a9ddd414391af878c1	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951189e385b2899594f8a11	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511895f7c1acd9455cd909	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951188d35bdf85bfa3d0ed8	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511885047cac71bc2dc50b	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951187d45a5a48cde7d06c8	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511874bc9b1418d182c6b4	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951186c6d633d2db81c8ee6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511861bbb65df139b423b6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951185a7a18d4b0c41557af	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511852cacb9230dc1f2bd6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69511be8f8d5f8a96934792b	2025-12-28	Oz Batch: 10 IOCs (avg BDE: 85)		4
69511e56bc6afb4558b59040	2025-12-28	DugganUSA Feed Harvest - 2025-12-28		1
69511fef521959a89be632f6	2025-12-28	Oz Batch: 9 IOCs (avg BDE: 85)		6
6951207341c2f26f6931714f	2025-12-28	OSINT Volley 2025-12-28 - ClearFake/Unknown malware/DragonForce		64
6951219dad5d396d0adfd18a	2025-12-28	DugganUSA Feed Harvest - 2025-12-28		1
695123f072baa1170e8ab8de	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
695123e869337ae2c7eddfce	2025-12-28	Oz Batch: 48 IOCs (avg BDE: 80)		48
695123f744d3f192465754f6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951240c1344ce7066f084c6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951240074cc44e6e72421b1	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951241abc0552e742d6d3b6	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
69512413561e2e9f14e5bb82	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		50
6951242352a41298312b4f44	2025-12-28	Oz Batch: 50 IOCs (avg BDE: 80)		48
