ip	first_seen_utc	tag
74.176.227.113	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.176.227.114	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.176.227.119	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.177.109.160	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.177.109.162	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.177.109.164	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.177.109.167	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.178.242.128	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.178.242.134	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.179.67.135	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.179.70.60	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
74.249.78.33	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
78.153.140.128	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
78.153.140.171	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
78.153.140.195	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
78.153.140.218	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
78.153.140.222	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
84.239.45.13	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.11.167.4	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.203.47.41	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.196	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.199	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.200	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.206	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.208	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.96.211	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.98.17	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.98.19	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
85.208.98.23	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
86.125.60.57	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
88.99.57.93	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
89.248.173.171	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.211.202	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.211.252	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.211.42	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.211.82	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.212.0	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.217.212.86	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.219.158.46	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
8.220.218.253	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
91.224.92.185	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
91.227.68.187	2026-01-21	Oz Batch: 50 IOCs (avg BDE: 80)
