ip	first_seen_utc	tag
205.210.31.230	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.231	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.232	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.239	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.240	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.242	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.243	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.248	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.249	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.25	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.252	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.255	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.26	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.38	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.39	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.40	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.46	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.47	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.49	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.50	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.51	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.52	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.53	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.54	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.55	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.56	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.57	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.58	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.6	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.60	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.65	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.66	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.70	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.74	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.76	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.82	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.83	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.84	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.85	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.89	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.90	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.93	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.94	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
205.210.31.96	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
209.50.181.218	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
20.169.77.227	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
212.97.64.25	2026-01-01	Oz Batch: 50 IOCs (avg BDE: 80)
