ip,port,malware,confidence_level,first_seen_utc_date
173.254.13.162,443,unknown,100,2025-12-17
13.202.242.94,443,unknown,100,2025-12-17
3.18.128.17,80,unknown,100,2025-12-17
107.22.139.178,8808,win.meterpreter,100,2025-12-17
80.87.206.125,7443,unknown,100,2025-12-17
23.235.174.9,9878,win.cobalt_strike,100,2025-12-17
23.235.174.3,9878,win.cobalt_strike,100,2025-12-17
23.235.174.18,9878,win.cobalt_strike,100,2025-12-17
23.235.174.25,9878,win.cobalt_strike,100,2025-12-17
23.235.174.11,9878,win.cobalt_strike,100,2025-12-17
144.31.207.107,6565,win.xworm,100,2025-12-17
23.235.174.20,9878,win.cobalt_strike,100,2025-12-17
23.235.174.4,9878,win.cobalt_strike,100,2025-12-17
23.235.174.15,9878,win.cobalt_strike,100,2025-12-17
106.52.185.141,80,win.cobalt_strike,100,2025-12-17
121.12.220.167,7777,win.cobalt_strike,100,2025-12-17
129.204.11.247,7777,win.cobalt_strike,100,2025-12-17
23.132.164.104,1009,win.remcos,100,2025-12-17
104.168.101.197,4449,win.asyncrat,100,2025-12-17
185.92.190.4,80,win.quasar_rat,100,2025-12-17
185.92.190.4,443,win.quasar_rat,100,2025-12-17
185.34.144.34,443,win.quasar_rat,100,2025-12-17
185.34.144.34,80,win.quasar_rat,100,2025-12-17
185.34.144.6,80,win.quasar_rat,100,2025-12-17
185.34.144.6,443,win.quasar_rat,100,2025-12-17
185.34.144.33,80,win.quasar_rat,100,2025-12-17
185.34.144.33,443,win.quasar_rat,100,2025-12-17
185.92.188.223,80,win.quasar_rat,100,2025-12-17
185.92.188.223,443,win.quasar_rat,100,2025-12-17
185.34.144.5,80,win.quasar_rat,100,2025-12-17
185.34.144.5,443,win.quasar_rat,100,2025-12-17
185.92.188.243,80,win.quasar_rat,100,2025-12-17
185.92.188.243,443,win.quasar_rat,100,2025-12-17
185.92.190.3,80,win.quasar_rat,100,2025-12-17
185.92.190.5,80,win.quasar_rat,100,2025-12-17
185.92.190.3,443,win.quasar_rat,100,2025-12-17
185.92.190.5,443,win.quasar_rat,100,2025-12-17
185.92.188.225,80,win.quasar_rat,100,2025-12-17
185.92.188.225,443,win.quasar_rat,100,2025-12-17
185.92.188.221,80,win.quasar_rat,100,2025-12-17
185.92.188.221,443,win.quasar_rat,100,2025-12-17
185.92.188.244,80,win.quasar_rat,100,2025-12-17
185.92.188.244,443,win.quasar_rat,100,2025-12-17
185.34.144.3,80,win.quasar_rat,100,2025-12-17
185.34.144.3,443,win.quasar_rat,100,2025-12-17
185.34.144.35,80,win.quasar_rat,100,2025-12-17
185.34.144.35,443,win.quasar_rat,100,2025-12-17
185.92.189.28,80,win.quasar_rat,100,2025-12-17
185.92.189.28,443,win.quasar_rat,100,2025-12-17
185.92.189.27,443,win.quasar_rat,100,2025-12-17
185.92.189.27,80,win.quasar_rat,100,2025-12-17
185.92.188.241,80,win.quasar_rat,100,2025-12-17
185.92.188.241,443,win.quasar_rat,100,2025-12-17
185.92.188.224,80,win.quasar_rat,100,2025-12-17
185.92.188.224,443,win.quasar_rat,100,2025-12-17
185.92.189.26,80,win.quasar_rat,100,2025-12-17
