ip,port,malware,confidence_level,first_seen_utc_date
162.62.231.174,8585,win.asyncrat,75,2026-01-12
143.92.61.65,8888,win.valley_rat,100,2026-01-12
143.92.61.65,6666,win.valley_rat,100,2026-01-12
129.226.167.253,5760,win.valley_rat,100,2026-01-12
129.226.167.253,51433,win.valley_rat,100,2026-01-12
129.226.167.253,1433,win.valley_rat,100,2026-01-12
207.56.13.76,5666,win.valley_rat,100,2026-01-12
95.211.45.184,55615,win.redline_stealer,100,2026-01-12
102.98.80.61,443,win.netsupportmanager_rat,100,2026-01-12
45.84.138.50,80,win.cobalt_strike,100,2026-01-12
50.17.86.250,8443,unknown,100,2026-01-12
185.214.74.27,8443,unknown,100,2026-01-12
92.119.125.184,3333,unknown,100,2026-01-12
185.117.0.85,60000,unknown,100,2026-01-12
163.181.77.215,443,win.cobalt_strike,75,2026-01-12
148.113.5.4,443,win.havoc,100,2026-01-12
20.2.140.201,443,win.havoc,100,2026-01-12
69.165.67.85,1000,win.ghost_rat,75,2026-01-12
111.92.243.40,80,win.cobalt_strike,100,2026-01-12
160.202.133.194,31050,win.redline_stealer,100,2026-01-12
91.92.240.29,1156,win.remcos,100,2026-01-12
162.254.24.185,5402,win.remcos,100,2026-01-12
8.218.178.70,8443,win.vshell,100,2026-01-12
116.198.41.59,80,win.cobalt_strike,100,2026-01-12
103.194.107.168,8443,win.cobalt_strike,100,2026-01-12
91.214.78.60,80,win.stealc,100,2026-01-12
47.83.230.53,5858,win.valley_rat,100,2026-01-12
91.132.93.251,443,win.bianlian,75,2026-01-12
51.15.124.236,7373,win.deimos_c2,75,2026-01-12
35.83.162.55,443,win.deimos_c2,75,2026-01-12
207.56.203.74,443,win.deimos_c2,75,2026-01-12
207.56.197.120,443,win.deimos_c2,75,2026-01-12
207.56.201.58,443,win.deimos_c2,75,2026-01-12
166.117.47.92,443,win.deimos_c2,75,2026-01-12
148.178.91.186,443,win.deimos_c2,75,2026-01-12
148.178.84.112,443,win.deimos_c2,75,2026-01-12
148.178.80.206,443,win.deimos_c2,75,2026-01-12
148.178.77.76,443,win.deimos_c2,75,2026-01-12
148.178.65.94,443,win.deimos_c2,75,2026-01-12
148.178.60.57,443,win.deimos_c2,75,2026-01-12
148.178.52.57,443,win.deimos_c2,75,2026-01-12
148.178.51.207,443,win.deimos_c2,75,2026-01-12
148.178.45.72,443,win.deimos_c2,75,2026-01-12
148.178.39.57,443,win.deimos_c2,75,2026-01-12
148.178.119.85,443,win.deimos_c2,75,2026-01-12
46.224.191.117,443,win.vidar,100,2026-01-12
138.226.237.166,443,win.vidar,100,2026-01-12
95.216.177.223,443,win.vidar,100,2026-01-12
37.27.21.37,443,win.vidar,100,2026-01-12
138.226.237.155,443,win.vidar,100,2026-01-12
95.217.25.219,443,win.vidar,100,2026-01-12
95.217.27.33,443,win.vidar,100,2026-01-12
138.226.237.194,443,win.vidar,100,2026-01-12
95.217.27.8,443,win.vidar,100,2026-01-12
37.27.200.165,443,win.vidar,100,2026-01-12
138.226.236.84,443,win.vidar,100,2026-01-12
46.62.245.12,443,win.vidar,100,2026-01-12
77.105.161.26,443,win.vidar,100,2026-01-12
77.42.19.39,443,win.vidar,100,2026-01-12
77.42.82.203,443,win.vidar,100,2026-01-12
77.42.29.135,443,win.vidar,100,2026-01-12
138.226.237.188,443,win.vidar,100,2026-01-12
46.151.182.4,80,elf.moobot,100,2026-01-12
185.76.242.166,8888,win.dcrat,100,2026-01-12
103.43.18.10,8888,unknown,100,2026-01-12
194.68.225.38,443,unknown_rat,100,2026-01-12
47.93.141.98,8888,win.cobalt_strike,100,2026-01-12
45.156.87.208,1999,elf.mirai,80,2026-01-12
176.65.132.175,80,win.stealc,75,2026-01-12
45.95.232.51,80,win.stealc,75,2026-01-12
45.151.91.164,80,win.stealc,75,2026-01-12
65.87.7.251,80,win.stealc,75,2026-01-12
45.153.34.109,80,win.stealc,75,2026-01-12
