ip,port,malware,confidence_level,first_seen_utc_date
43.134.120.6,45,win.valley_rat,100,2026-01-11
43.134.120.6,442,win.valley_rat,100,2026-01-11
154.73.110.37,2024,unknown,100,2026-01-11
85.215.187.75,9090,win.chaos,100,2026-01-11
168.119.214.202,812,unknown,100,2026-01-11
8.215.205.13,443,unknown,100,2026-01-11
45.156.87.73,80,elf.moobot,100,2026-01-11
158.247.255.98,443,unknown,100,2026-01-11
102.117.170.125,7443,unknown,100,2026-01-11
216.158.235.14,7443,unknown,100,2026-01-11
5.75.200.211,8443,win.deimos_c2,75,2026-01-11
207.56.215.40,443,win.deimos_c2,75,2026-01-11
207.56.205.87,443,win.deimos_c2,75,2026-01-11
207.56.201.147,443,win.deimos_c2,75,2026-01-11
207.56.193.158,443,win.deimos_c2,75,2026-01-11
148.178.92.67,443,win.deimos_c2,75,2026-01-11
148.178.82.238,443,win.deimos_c2,75,2026-01-11
148.178.83.19,443,win.deimos_c2,75,2026-01-11
148.178.79.57,443,win.deimos_c2,75,2026-01-11
148.178.77.92,443,win.deimos_c2,75,2026-01-11
148.178.71.239,443,win.deimos_c2,75,2026-01-11
148.178.69.17,443,win.deimos_c2,75,2026-01-11
148.178.69.241,443,win.deimos_c2,75,2026-01-11
148.178.65.38,443,win.deimos_c2,75,2026-01-11
148.178.66.103,443,win.deimos_c2,75,2026-01-11
148.178.56.139,443,win.deimos_c2,75,2026-01-11
148.178.51.44,443,win.deimos_c2,75,2026-01-11
148.178.48.116,443,win.deimos_c2,75,2026-01-11
148.178.40.170,443,win.deimos_c2,75,2026-01-11
43.134.120.6,443,win.valley_rat,100,2026-01-11
83.229.123.61,7777,win.cobalt_strike,100,2026-01-11
39.97.62.187,8888,win.cobalt_strike,100,2026-01-11
182.92.132.195,80,win.cobalt_strike,100,2026-01-11
38.14.250.196,80,win.cobalt_strike,100,2026-01-11
54.158.147.232,5176,win.meterpreter,100,2026-01-11
185.208.159.209,8080,win.asyncrat,100,2026-01-11
45.156.87.158,3884,elf.mirai,80,2026-01-11
87.121.112.124,911,elf.mirai,80,2026-01-11
138.124.89.194,80,win.stealc,100,2026-01-11
18.188.140.51,943,win.nanocore,75,2026-01-11
43.157.212.233,443,win.valley_rat,100,2026-01-11
43.157.212.233,442,win.valley_rat,100,2026-01-11
90.165.55.41,4782,win.quasar_rat,100,2026-01-11
5.175.136.77,5000,win.quasar_rat,100,2026-01-11
85.203.4.143,7000,win.xworm,100,2026-01-11
54.236.229.118,9201,win.meterpreter,100,2026-01-11
199.101.111.41,3790,win.meterpreter,100,2026-01-11
196.75.135.191,2222,win.meterpreter,100,2026-01-11
185.76.242.166,7777,win.dcrat,100,2026-01-11
195.24.237.166,443,win.havoc,100,2026-01-11
51.195.201.251,3443,unknown,100,2026-01-11
185.196.11.235,80,win.sliver,100,2026-01-11
184.174.32.240,9000,win.sliver,100,2026-01-11
137.175.16.1,8896,win.cobalt_strike,100,2026-01-11
43.157.212.233,45,win.valley_rat,100,2026-01-11
199.101.111.34,3790,win.meterpreter,100,2026-01-11
54.236.229.118,11101,win.meterpreter,100,2026-01-11
54.236.229.118,20001,win.meterpreter,100,2026-01-11
103.177.47.76,3790,win.meterpreter,100,2026-01-11
54.236.229.118,9301,win.meterpreter,100,2026-01-11
54.236.229.118,9601,win.meterpreter,100,2026-01-11
182.254.168.212,30586,win.adaptix_c2,100,2026-01-11
54.168.37.22,80,win.brute_ratel_c4,100,2026-01-11
107.189.24.255,9000,win.sectop_rat,100,2026-01-11
38.242.247.151,3333,unknown,100,2026-01-10
13.61.144.55,3333,unknown,100,2026-01-10
41.59.227.252,3333,unknown,100,2026-01-10
61.65.172.185,8443,unknown,100,2026-01-10
79.215.186.85,55667,win.asyncrat,100,2026-01-10
103.140.154.44,8888,win.valley_rat,100,2026-01-10
103.119.15.183,3322,win.valley_rat,100,2026-01-10
103.140.154.44,6666,win.valley_rat,100,2026-01-10
103.140.154.44,7777,win.valley_rat,100,2026-01-10
78.165.87.44,1604,win.darkcomet,100,2026-01-10
91.60.160.180,77,win.darkcomet,100,2026-01-10
176.31.64.103,1374,win.darkcomet,100,2026-01-10
37.131.101.113,2933,win.darkcomet,100,2026-01-10
91.60.160.180,777,win.darkcomet,100,2026-01-10
194.165.16.110,4442,win.darkcomet,100,2026-01-10
178.140.133.37,1604,win.darkcomet,100,2026-01-10
213.208.152.205,8309,win.netwire,100,2026-01-10
46.243.189.158,3368,win.netwire,100,2026-01-10
84.54.33.152,6000,win.xworm,100,2026-01-10
41.235.18.175,4444,win.xworm,100,2026-01-10
172.245.155.86,7347,win.xworm,100,2026-01-10
85.203.4.200,7000,win.xworm,100,2026-01-10
93.123.109.129,7007,win.xworm,100,2026-01-10
193.161.193.99,39417,win.asyncrat,100,2026-01-10
193.161.193.99,1329,win.asyncrat,100,2026-01-10
74.15.67.38,7000,win.quasar_rat,100,2026-01-10
3.90.35.169,6443,win.meterpreter,100,2026-01-10
64.227.136.107,8080,win.meterpreter,100,2026-01-10
202.95.17.140,8080,win.ghost_rat,100,2026-01-10
38.148.203.82,8888,win.cobalt_strike,100,2026-01-10
107.174.65.53,4444,win.cobalt_strike,100,2026-01-10
85.9.201.19,80,win.cobalt_strike,100,2026-01-10
85.237.211.100,8888,win.sliver,75,2026-01-10
207.56.207.195,443,win.deimos_c2,75,2026-01-10
207.56.213.76,443,win.deimos_c2,75,2026-01-10
207.56.194.194,443,win.deimos_c2,75,2026-01-10
16.64.53.87,443,win.deimos_c2,75,2026-01-10
148.178.90.243,443,win.deimos_c2,75,2026-01-10
148.178.86.182,443,win.deimos_c2,75,2026-01-10
148.178.75.72,443,win.deimos_c2,75,2026-01-10
148.178.80.237,443,win.deimos_c2,75,2026-01-10
148.178.72.117,443,win.deimos_c2,75,2026-01-10
148.178.55.53,443,win.deimos_c2,75,2026-01-10
148.178.44.144,443,win.deimos_c2,75,2026-01-10
148.178.41.237,443,win.deimos_c2,75,2026-01-10
148.178.42.158,443,win.deimos_c2,75,2026-01-10
148.178.33.15,443,win.deimos_c2,75,2026-01-10
148.178.37.173,443,win.deimos_c2,75,2026-01-10
23.133.4.2,5178,win.nworm,100,2026-01-10
195.24.236.5,80,apk.hook,100,2026-01-10
154.85.44.24,8888,unknown,100,2026-01-10
85.237.211.100,31337,win.sliver,100,2026-01-10
176.65.149.243,3778,elf.mirai,80,2026-01-10
