ip	port	tag	ioc_source	first_seen_utc	first_crawl_date	last_seen_date	count
1.0.170.118			FireHOL|cinsscore|ipsum		2025-12-12	2026-01-30	3
1.0.202.30			FireHOL|cinsscore|ipsum		2025-12-25	2026-01-30	3
1.1.179.25			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-29	3
1.117.17.128			CyberCure|FireHOL|cinsscore		2025-12-11	2026-01-30	3
1.12.238.40			FireHOL|cinsscore|ipsum		2026-01-26	2026-01-30	3
1.12.64.80			CyberCure|greensnow|ipsum		2025-12-11	2026-01-30	3
1.13.19.219			CyberCure|greensnow|ipsum		2025-12-11	2026-01-30	3
1.13.79.144			CyberCure|greensnow|ipsum		2025-12-11	2026-01-30	3
1.14.241.63		Cobalt Strike C2|OSINT Volley 2026-01-17 - Unknown malware/DeimosC2/AsyncRAT|OSINT Volley 2026-01-27 - Meterpreter/Unknown malware/Cobalt Strike|malware_download	Montysecurity|alienvault|urlhaus	2026-01-17	2026-01-17	2026-01-30	3
1.14.95.153			CyberCure|greensnow|ipsum		2025-12-19	2026-01-30	3
1.15.25.148		Cobalt Strike C2|malware_download	Montysecurity|threatview.io|urlhaus	2025-11-02	2025-12-11	2026-01-30	3
1.15.51.236			FireHOL|cinsscore|ipsum		2025-12-16	2026-01-30	3
1.15.95.172			FireHOL|cinsscore|ipsum		2026-01-24	2026-01-30	3
1.161.39.103			CyberCure|greensnow|ipsum		2026-01-10	2026-01-30	3
1.161.49.101			CyberCure|SNORT|greensnow|ipsum		2026-01-17	2026-01-30	4
1.161.49.186			CyberCure|greensnow|ipsum		2025-12-11	2026-01-30	3
1.161.57.21			CyberCure|greensnow|ipsum		2025-12-30	2026-01-30	3
1.162.207.22			CyberCure|greensnow|ipsum		2025-12-14	2026-01-30	3
1.162.231.97			CyberCure|greensnow|ipsum		2025-12-12	2026-01-30	3
1.162.249.243			CyberCure|greensnow|ipsum		2026-01-15	2026-01-30	3
1.171.19.69			CyberCure|FireHOL|cinsscore|ipsum		2025-12-17	2026-01-30	4
1.171.20.54			FireHOL|cinsscore|ipsum		2025-12-25	2026-01-03	3
1.171.34.122			CyberCure|FireHOL|cinsscore|ipsum		2025-12-22	2026-01-30	4
1.171.34.59			CyberCure|FireHOL|cinsscore|ipsum		2025-12-20	2026-01-30	4
1.171.38.201			FireHOL|cinsscore|ipsum		2025-12-31	2026-01-12	3
1.178.38.103			FireHOL|cinsscore|ipsum		2026-01-14	2026-01-30	3
