ip	port	tag	ioc_source	first_seen_utc	first_crawl_date	last_seen_date	count
1.1.179.25			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.117.17.128			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.12.64.80			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.13.19.219			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.13.79.144			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.14.95.153			CyberCure|greensnow|ipsum		2025-12-19	2025-12-28	3
1.15.25.148		Cobalt Strike C2|malware_download	Montysecurity|threatview.io|urlhaus	2025-11-02	2025-12-11	2025-12-28	3
1.15.51.236			FireHOL|cinsscore|ipsum		2025-12-16	2025-12-28	3
1.161.49.186			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.162.207.22			CyberCure|greensnow|ipsum		2025-12-14	2025-12-28	3
1.162.231.97			CyberCure|greensnow|ipsum		2025-12-12	2025-12-28	3
1.171.19.69			CyberCure|FireHOL|cinsscore|ipsum		2025-12-17	2025-12-28	4
1.171.20.54			FireHOL|cinsscore|ipsum		2025-12-25	2025-12-28	3
1.171.34.122			CyberCure|FireHOL|cinsscore|ipsum		2025-12-22	2025-12-28	4
1.171.34.59			CyberCure|FireHOL|cinsscore|ipsum		2025-12-20	2025-12-28	4
1.181.69.174			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.193.63.113			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.193.63.203			CyberCure|FireHOL|cinsscore		2025-12-19	2025-12-28	3
1.20.220.158			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-24	3
1.204.166.3			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.212.225.99			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.212.90.61			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.213.196.20			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.213.214.233			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.214.197.163			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.214.29.155			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.215.119.36			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.220.119.116			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.221.66.66			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.222.44.250			FireHOL|cinsscore|ipsum		2025-12-21	2025-12-28	3
1.222.50.93			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.222.72.173			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.222.92.35			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.223.227.114			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.223.6.133			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.223.6.54			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.223.87.38			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.238.106.229			CyberCure|greensnow|ipsum		2025-12-11	2025-12-28	3
1.24.16.104			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.108			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.109			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.115			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.12			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.121			Binarydefense|CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	4
1.24.16.124			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.129			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.13			CyberCure|FireHOL|cinsscore		2025-12-12	2025-12-28	3
1.24.16.132			Binarydefense|FireHOL|cinsscore		2025-12-12	2025-12-25	3
1.24.16.134			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.139			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.146			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.147			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.148			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.149			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.15			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.153			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.154			FireHOL|cinsscore|ipsum		2025-12-18	2025-12-28	3
1.24.16.157			FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	3
1.24.16.16			CyberCure|FireHOL|cinsscore		2025-12-12	2025-12-28	3
1.24.16.168			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-24	3
1.24.16.169			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.178			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.179			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.18			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.183			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.184			CyberCure|FireHOL|cinsscore		2025-12-12	2025-12-28	3
1.24.16.189			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.190			Binarydefense|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.191			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.192			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.2			FireHOL|cinsscore|ipsum		2025-12-17	2025-12-28	3
1.24.16.201			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.205			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.206			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.210			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.212			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.219			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.22			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.223			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.226			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.228			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.231			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.233			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.235			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.239			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.240			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.241			FireHOL|cinsscore|ipsum		2025-12-12	2025-12-28	3
1.24.16.242			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.243			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.244			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.248			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.249			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.253			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.26			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.27			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.30			CyberCure|FireHOL|cinsscore		2025-12-12	2025-12-28	3
1.24.16.32			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.34			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.36			FireHOL|cinsscore|ipsum		2025-12-13	2025-12-28	3
1.24.16.40			CyberCure|FireHOL|cinsscore		2025-12-12	2025-12-28	3
1.24.16.41			Binarydefense|FireHOL|cinsscore|ipsum		2025-12-16	2025-12-28	4
1.24.16.42			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.45			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.46			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.49			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.51			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.53			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.54			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.57			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.58			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.63			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
1.24.16.64			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.65			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.70			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.71			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.72			CyberCure|FireHOL|cinsscore		2025-12-11	2025-12-28	3
1.24.16.73			CyberCure|FireHOL|cinsscore|ipsum		2025-12-11	2025-12-28	4
